OPEID6,UnitID,Institution,County
13240,118161.0,Lytles Redwood Empire Beauty College,Sonoma
20635,112385.0,Coastline Community College,Orange
20643,123350.0,Sierra College of Beauty,Merced
20657,110875.0,California Beauty School,Stanislaus
21005,105215.0,Universal Technical Institute of Northern California Inc,Sacramento
21113,113218.0,Cuyamaca College,San Diego
21191,118930.0,Mission College,Santa Clara
21207,448381.0,San Joaquin Valley College-Santa Maria,Santa Barbara
21250,111513.0,Career Academy of Beauty,Orange
21282,125082.0,Bridges Beauty College,San Bernardino
21283,115931.0,Institute for Business and Technology,Santa Clara
21618,119270.0,Musicians Institute,Los Angeles
21678,417062.0,Estes Institute of Cosmetology Arts and Science,Tulare
21858,118994.0,Moler Barber College,Alameda
22110,115357.0,Salon Success Academy-Riverside,Riverside
22171,105534.0,Pima Medical Institute-Chula Vista,San Diego
22260,113856.0,East Los Angeles College,Los Angeles
22309,114761.0,Fredrick and Charles Beauty College,Humboldt
22319,114947.0,Gemological Institute of America-Carlsbad,San Diego
22364,368832.0,Thanh Le College School of Cosmetology,Orange
22418,109040.0,American Career College-Anaheim,Orange
22427,125170.0,Berkeley City College,Alameda
22482,454555.0,Milan Institute of Cosmetology-Vacaville,Solano
22774,123642.0,South Coast College,Orange
23328,111717.0,CET-Soledad,Monterey
23385,115010.0,North-West College-San Diego,San Diego
23434,377722.0,Bellus Academy-Poway,San Diego
24948,371830.0,CRU Institute of Cosmetology and Barbering,Orange
24973,112288.0,Milan Institute-Visalia,Tulare
25204,262369.0,Adrian's Beauty College of Turlock,Stanislaus
25318,442240.0,Paul Mitchell the School-San Diego,San Diego
25372,365125.0,Palomar Institute of Cosmetology,San Diego
25395,116439.0,Irvine Valley College,Orange
25423,119553.0,National Holistic Institute,Alameda
25434,110194.0,Brownson Technical School,Orange
25459,368771.0,Hypnosis Motivation Institute,Los Angeles
25535,109730.0,Associated Technical College-San Diego,San Diego
25536,395690.0,Diversified Vocational College,Los Angeles
25593,124681.0,UEI College-Garden Grove,Orange
25594,443571.0,InterCoast Colleges-Riverside,Riverside
25916,120087.0,North-West College-Van Nuys,Los Angeles
25964,413680.0,Spartan College of Aeronautics and Technology,Riverside
26023,378105.0,Central Coast College,Monterey
30199,377759.0,Capstone College,Los Angeles
30277,378576.0,Pacific College of Health and Science,San Diego
30296,372082.0,Pomona Unified School District Adult and Career Education,Los Angeles
30357,366401.0,Las Positas College,Alameda
30399,372073.0,Fremont University,Los Angeles
30624,382258.0,Mt. Diablo Adult Education-Mt. Diablo USD,Contra Costa
30627,260789.0,Platt College-Ontario,San Bernardino
30634,371928.0,Modern Technology School,Orange
30674,417105.0,Baldwin Park Adult & Community Education,Los Angeles
30675,431141.0,Institute of Technology,Fresno
30847,417123.0,Ventura Adult and Continuing Education,Ventura
30977,419183.0,Central California School of Continuing Education,San Luis Obispo
30987,442657.0,Milan Institute-Palm Desert,Riverside
31081,400080.0,Summit College,San Bernardino
31133,397942.0,UEI College-Bakersfield,Kern
31136,399869.0,Southern California Institute of Technology,Orange
31253,428125.0,John Wesley International Barber and Beauty College,Los Angeles
31258,416458.0,Premiere Career College,Los Angeles
